lat,lon
144.3472732,-38.19019203
144.3769095,-38.1792642
144.3482529,-38.18427659
144.3483251,-38.18428394
144.3888518,-38.17831756
144.3808863,-38.15864926
144.351751,-38.09360831
144.3727521,-38.1506732
144.3513501,-38.09076475
144.3512518,-38.09075476
144.3971157,-38.19149654
144.3887098,-38.17843167
144.3280481,-38.19222468
144.3104637,-38.1883803
144.3103604,-38.18837496
144.2989922,-38.21034295
144.317422,-38.19335837
144.4059425,-38.16551593
144.381049,-38.15845653
144.3809868,-38.15843988
144.3233561,-38.18683129
144.3104103,-38.18837312
144.3739715,-38.16023559
144.2974431,-38.16429866
144.3105042,-38.18840745
144.3297232,-38.13485972
144.3804079,-38.02615849
144.3807391,-38.15897039
144.3809461,-38.15866585
144.3388932,-38.18911429
144.2987604,-38.16369839
144.3262149,-38.12499157
144.4023842,-38.03324648
144.2988011,-38.16419114
144.2989839,-38.16418899
144.2987871,-38.16402375
144.298969,-38.1640106
144.298955,-38.16384053
144.2989416,-38.16367749
144.298749,-38.16356003
144.2989255,-38.16348291
144.3838375,-38.17707525
144.3939965,-38.0291007
144.3994808,-38.03407591
144.3991523,-38.02521648
144.6364625,-38.11889316
144.4608736,-38.19418354
144.5471609,-38.26435993
144.4586462,-38.19671992
144.5481835,-38.26261977
144.363551,-38.16198271
144.3389206,-38.18903682
144.3663777,-38.14652798
144.3662282,-38.14648626
144.4047666,-38.01439283
144.3979179,-38.03591549
144.3979452,-38.03576576
144.3342963,-38.14010232
144.3342458,-38.14009617
144.3991691,-38.02299984
144.3171293,-38.18554191
144.3184432,-38.19436182
144.3137535,-38.18795623
144.4003738,-38.03613886
144.3800281,-38.02824235
144.3800616,-38.0280591
144.3805517,-38.02537041
144.3515218,-38.18198823
144.4074424,-38.01481865
144.3515172,-38.18201278
144.379103,-38.15375132
144.3770231,-38.15293945
144.6506094,-38.1185152
144.3943896,-38.03332448
144.6127585,-38.27321998
144.4043579,-38.01603875
144.3805715,-38.14943803
144.3986821,-38.03644711
144.4610878,-38.19379576
144.4565323,-38.1953473
144.3932686,-38.03084869
144.304197,-38.15583529
144.304223,-38.15569284
144.304537,-38.15459968
144.3045421,-38.15445367
144.7020641,-38.14109326
144.702115,-38.1410179
144.7018583,-38.14098485
144.7019904,-38.14087147
144.7021123,-38.14079469
144.7020081,-38.14077727
144.7021356,-38.14066926
144.7020224,-38.14065941
144.3804455,-38.02709088
144.6090495,-38.27429563
144.3355479,-38.18867666
144.4598911,-38.18818213
144.3345151,-38.18717103
144.3367135,-38.18653487
144.3366031,-38.18232299
144.5726031,-38.17994802
144.5722851,-38.17987501
144.5722725,-38.17983175
144.5726935,-38.17980623
144.5723008,-38.17968932
144.5724032,-38.17962342
144.5724458,-38.17959596
144.5724963,-38.17951378
144.4747316,-38.17763998
144.3599976,-38.15636591
144.351839,-38.08526878
144.3806504,-38.15061427
144.3804899,-38.1506083
144.3804361,-38.1505922
144.3805852,-38.15058063
144.3805404,-38.15056502
144.380488,-38.15055521
144.3804167,-38.15054468
144.3806466,-38.15053014
144.3805763,-38.15051248
144.3805104,-38.15049969
144.3803771,-38.15049075
144.3804352,-38.15049026
144.3806212,-38.15046104
144.3805333,-38.15045014
144.3804684,-38.1504475
144.3804127,-38.15044446
144.3803554,-38.15044259
144.6354713,-38.12195562
144.3600343,-38.15637638
144.7034984,-38.14064633
144.703273,-38.14059424
144.7029586,-38.14053278
144.7023141,-38.14052207
144.7019229,-38.14052205
144.7027442,-38.14051523
144.7025172,-38.1405127
144.7017928,-38.14051187
144.7032256,-38.14048841
144.7022903,-38.14043197
144.7027472,-38.14041992
144.7025492,-38.14041796
144.7017933,-38.14041652
144.6503804,-38.12296356
144.6502858,-38.12295195
144.6501654,-38.12293718
144.6503175,-38.12280999
144.6501269,-38.12278661
144.6499437,-38.12276413
144.649749,-38.12274023
144.6495906,-38.1227208
144.400469,-38.03430484
144.4005074,-38.03403963
144.4006387,-38.0340226
144.4006527,-38.03391839
144.4005466,-38.03385025
144.4012096,-38.03382057
144.4014504,-38.0337601
144.4011983,-38.0337302
144.4005797,-38.03368076
144.4007749,-38.03325761
144.4006779,-38.03313722
144.4019574,-38.03312499
144.4007994,-38.0331113
144.4020238,-38.03303825
144.4012131,-38.03303581
144.4009848,-38.03301408
144.4013677,-38.03296771
144.4007706,-38.03262813
144.4008969,-38.03260422
144.5304033,-38.2606034
144.4778517,-38.17874163
144.4780279,-38.17845346
144.2973498,-38.16388761
144.297465,-38.16298212
144.2971916,-38.16296495
144.2972014,-38.16282642
144.2974886,-38.16274828
144.2972209,-38.16270088
144.3805969,-38.14940999
144.6143508,-38.26869323
144.6142696,-38.26867067
